keyword,date,value
Carlton Lake Bottom logged,01/01/2023 00:00,-10.34
Carlton Lake Bottom logged,01/01/2023 01:00,-10.338
Carlton Lake Bottom logged,01/01/2023 02:00,-10.334
Carlton Lake Bottom logged,01/01/2023 03:00,-10.335
Carlton Lake Bottom logged,01/01/2023 04:00,-10.34
Carlton Lake Bottom logged,01/01/2023 05:00,-10.35
Carlton Lake Bottom logged,01/01/2023 06:00,-10.359
Carlton Lake Bottom logged,01/01/2023 07:00,-10.37
Carlton Lake Bottom logged,01/01/2023 08:00,-10.379
Carlton Lake Bottom logged,01/01/2023 09:00,-10.387
Carlton Lake Bottom logged,01/01/2023 10:00,-10.395
Carlton Lake Bottom logged,01/01/2023 11:00,-10.399
Carlton Lake Bottom logged,01/01/2023 12:00,-10.405
Carlton Lake Bottom logged,01/01/2023 13:00,-10.407
Carlton Lake Bottom logged,01/01/2023 14:00,-10.41
Carlton Lake Bottom logged,01/01/2023 15:00,-10.413
Carlton Lake Bottom logged,01/01/2023 16:00,-10.413
Carlton Lake Bottom logged,01/01/2023 17:00,-10.414
Carlton Lake Bottom logged,01/01/2023 18:00,-10.417
Carlton Lake Bottom logged,01/01/2023 19:00,-10.42
Carlton Lake Bottom logged,01/01/2023 20:00,-10.424
Carlton Lake Bottom logged,01/01/2023 21:00,-10.426
Carlton Lake Bottom logged,01/01/2023 22:00,-10.426
Carlton Lake Bottom logged,01/01/2023 23:00,-10.428
Carlton Lake Bottom logged,02/01/2023 00:00,-10.428
Carlton Lake Bottom logged,02/01/2023 01:00,-10.427
Carlton Lake Bottom logged,02/01/2023 02:00,-10.427
Carlton Lake Bottom logged,02/01/2023 03:00,-10.432
Carlton Lake Bottom logged,02/01/2023 04:00,-10.43
Carlton Lake Bottom logged,02/01/2023 05:00,-10.435
Carlton Lake Bottom logged,02/01/2023 06:00,-10.444
Carlton Lake Bottom logged,02/01/2023 07:00,-10.454
Carlton Lake Bottom logged,02/01/2023 08:00,-10.465
Carlton Lake Bottom logged,02/01/2023 09:00,-10.479
Carlton Lake Bottom logged,02/01/2023 10:00,-10.49
Carlton Lake Bottom logged,02/01/2023 11:00,-10.501
Carlton Lake Bottom logged,02/01/2023 12:00,-10.509
Carlton Lake Bottom logged,02/01/2023 13:00,-10.518
Carlton Lake Bottom logged,02/01/2023 14:00,-10.524
Carlton Lake Bottom logged,02/01/2023 15:00,-10.53
Carlton Lake Bottom logged,02/01/2023 16:00,-10.535
Carlton Lake Bottom logged,02/01/2023 17:00,-10.538
Carlton Lake Bottom logged,02/01/2023 18:00,-10.545
Carlton Lake Bottom logged,02/01/2023 19:00,-10.551
Carlton Lake Bottom logged,02/01/2023 20:00,-10.558
Carlton Lake Bottom logged,02/01/2023 21:00,-10.564
Carlton Lake Bottom logged,02/01/2023 22:00,-10.568
Carlton Lake Bottom logged,02/01/2023 23:00,-10.569
Carlton Lake Bottom logged,03/01/2023 00:00,-10.57
Carlton Lake Bottom logged,03/01/2023 01:00,-10.569
Carlton Lake Bottom logged,03/01/2023 02:00,-10.565
Carlton Lake Bottom logged,03/01/2023 03:00,-10.561
Carlton Lake Bottom logged,03/01/2023 04:00,-10.55
Carlton Lake Bottom logged,03/01/2023 05:00,-10.538
Carlton Lake Bottom logged,03/01/2023 06:00,-10.531
Carlton Lake Bottom logged,03/01/2023 07:00,-10.528
Carlton Lake Bottom logged,03/01/2023 08:00,-10.525
Carlton Lake Bottom logged,03/01/2023 09:00,-10.52
Carlton Lake Bottom logged,03/01/2023 10:00,-10.518
Carlton Lake Bottom logged,03/01/2023 11:00,-10.512
Carlton Lake Bottom logged,03/01/2023 12:00,-10.507
Carlton Lake Bottom logged,03/01/2023 13:00,-10.499
Carlton Lake Bottom logged,03/01/2023 14:00,-10.49
Carlton Lake Bottom logged,03/01/2023 15:00,-10.48
Carlton Lake Bottom logged,03/01/2023 16:00,-10.47
Carlton Lake Bottom logged,03/01/2023 17:00,-10.46
Carlton Lake Bottom logged,03/01/2023 18:00,-10.444
Carlton Lake Bottom logged,03/01/2023 19:00,-10.436
Carlton Lake Bottom logged,03/01/2023 20:00,-10.43
Carlton Lake Bottom logged,03/01/2023 21:00,-10.426
Carlton Lake Bottom logged,03/01/2023 22:00,-10.42
Carlton Lake Bottom logged,03/01/2023 23:00,-10.416
Carlton Lake Bottom logged,04/01/2023 00:00,-10.411
Carlton Lake Bottom logged,04/01/2023 01:00,-10.409
Carlton Lake Bottom logged,04/01/2023 02:00,-10.403
Carlton Lake Bottom logged,04/01/2023 03:00,-10.399
Carlton Lake Bottom logged,04/01/2023 04:00,-10.395
Carlton Lake Bottom logged,04/01/2023 05:00,-10.389
Carlton Lake Bottom logged,04/01/2023 06:00,-10.382
Carlton Lake Bottom logged,04/01/2023 07:00,-10.38
Carlton Lake Bottom logged,04/01/2023 08:00,-10.386
Carlton Lake Bottom logged,04/01/2023 09:00,-10.393
Carlton Lake Bottom logged,04/01/2023 10:00,-10.399
Carlton Lake Bottom logged,04/01/2023 11:00,-10.405
Carlton Lake Bottom logged,04/01/2023 12:00,-10.408
Carlton Lake Bottom logged,04/01/2023 13:00,-10.411
Carlton Lake Bottom logged,04/01/2023 14:00,-10.413
Carlton Lake Bottom logged,04/01/2023 15:00,-10.417
Carlton Lake Bottom logged,04/01/2023 16:00,-10.423
Carlton Lake Bottom logged,04/01/2023 17:00,-10.427
Carlton Lake Bottom logged,04/01/2023 18:00,-10.429
Carlton Lake Bottom logged,04/01/2023 19:00,-10.431
Carlton Lake Bottom logged,04/01/2023 20:00,-10.438
Carlton Lake Bottom logged,04/01/2023 21:00,-10.446
Carlton Lake Bottom logged,04/01/2023 22:00,-10.457
Carlton Lake Bottom logged,04/01/2023 23:00,-10.463
Carlton Lake Bottom logged,05/01/2023 00:00,-10.47
Carlton Lake Bottom logged,05/01/2023 01:00,-10.475
Carlton Lake Bottom logged,05/01/2023 02:00,-10.478
Carlton Lake Bottom logged,05/01/2023 03:00,-10.482
Carlton Lake Bottom logged,05/01/2023 04:00,-10.484
Carlton Lake Bottom logged,05/01/2023 05:00,-10.487
Carlton Lake Bottom logged,05/01/2023 06:00,-10.485
Carlton Lake Bottom logged,05/01/2023 07:00,-10.482
Carlton Lake Bottom logged,05/01/2023 08:00,-10.483
Carlton Lake Bottom logged,05/01/2023 09:00,-10.487
Carlton Lake Bottom logged,05/01/2023 10:00,-10.491
Carlton Lake Bottom logged,05/01/2023 11:00,-10.494
Carlton Lake Bottom logged,05/01/2023 12:00,-10.493
Carlton Lake Bottom logged,05/01/2023 13:00,-10.489
Carlton Lake Bottom logged,05/01/2023 14:00,-10.486
Carlton Lake Bottom logged,05/01/2023 15:00,-10.48
Carlton Lake Bottom logged,05/01/2023 16:00,-10.472
Carlton Lake Bottom logged,05/01/2023 17:00,-10.466
Carlton Lake Bottom logged,05/01/2023 18:00,-10.458
Carlton Lake Bottom logged,05/01/2023 19:00,-10.445
Carlton Lake Bottom logged,05/01/2023 20:00,-10.436
Carlton Lake Bottom logged,05/01/2023 21:00,-10.43
Carlton Lake Bottom logged,05/01/2023 22:00,-10.426
